user_id,place_id,restaurant_name,city,state,country,food_price,smoking_area,restaurant_cuisine,user_budget,user_cuisine,reviews,classification
U1077,P135085,Tortas Locas Hipocampo,San Luis Potosi,San Luis Potosi,Mexico,medium,not permitted,Spanish,medium,American,"Just lucky to find this place. Quiet but very nice atmosphere. Very friendly staff who speak perfect English. Food was way beyond bar food. Nice presentation, good flavor. We had tuna steak and it was delicious. Dessert was brownie and carrot cake. Both of them delicious. High recommendations for this place. Must be even better in summer because there is a terrace outside.",
U1077,P135038,Restaurant la Chalita,San Luis Potosi,San Luis Potosi,Mexico,medium,section,Italian,medium,Mexican,"The food was excellent, the service was very good, lovely atmosphere, I loved the decor. Very easy access with transport.",
U1077,P132825,puesto de tacos,San Luis Potosi,San Luis Potosi,Mexico,low,none,Latin_American,medium,Mexican,"Popped in by accident walking around the hotel. Surprise, surprise! What a gem! We ordered: Tuna steak and margarita The food and the service are...... Well if youre in Prague It is the place you have to visit.",
U1077,P135060,Restaurante Marisco Sam,San Luis Potosi,San Luis Potosi,Mexico,medium,none,Mexican,medium,Bakery,"Unusual experience. Came in with a friend & ordered a small beer & margarita. The margarita was taking a while to arrive & instead of the cocktail they brought a Margherita pizza?! The cause of the misunderstanding was a 50/50, no blame given or taken, I accepted it. However, the waiter or manager or whoever it was, insisted that we pay for it. I wasn't prepared to argue about it but being a restaurant manager myself (in New Zealand) I certainly would never have made my customer pay for a messed up order. The guy seemed empowered by having asserted his will & point of view. Unfortunately he also succeeded in losing a customer for life. I am always baffled at how short-sighted the hospitality industry can be. One wrong move, one negative experience by a customer & you've lost them for good.",
U1068,P135104,vips,,,,medium,not permitted,Fast_Food,low,Breakfast-Brunch,"We had a really nice lunch here. I recommend the duck breast with carrots and spinach. I do not recommend the lemonade, it had a weird taste.",
U1068,P132740,Carreton de Flautas y Migadas,Cd Victoria,Tamaulipas,Mexico,low,permitted,Mexican,low,Japanese,"My absolute favorite in Prague, I like Italian Cars, good food and extreme good service, you've find it all in this place. Go for todays special, you will not be disappointed",
U1068,P132663,tacos abi,Victoria,Tamaulipas,Mexico,low,none,Burgers,low,Contemporary,"Service was friendly and attentive, especially given it was asparagus day and Im horrifically allergic.",
U1068,P132732,Taqueria EL amigo ,Cd Victoria,Tamaulipas,Mexico,low,none,Dessert-Ice_Cream,low,Mexican,"We visited this place just to grab a couple of drinks. The interior is pretty cool, the menu a little funny because you have the things listed, written in very small type format.",
U1068,P132630,palomo tec,Victoria,Tamaulipas,,low,none,Fast_Food,low,Bagels,"The atmosphere was really sophisticatedly rustic, pity I was not so hungry, so I gotten just a pizza and it was Great ( ps: ... I m Italian ... ) , but around of me I seen wonderful plates, a symphony of perfumes and colours .. but what surpised me really, was the Staff, real Great wonderful people, and much more than professional, with a sincere smile and passion for their job..people who make you feel good",
U1067,P132584,Gorditas Dona Tota,,,,medium,not permitted,Hot_Dogs,medium,Cafe-Coffee_Shop,Friendly staff who allowed us to use the phone. Busy restaurant. Salad with heated goat cheese was delicious.,
U1067,P132733,Little Cesarz,Cd Victoria,Tamaulipas,Mexico,medium,not permitted,Latin_American,medium,Continental-European,"Miserable service and terrible behaviour of waiter, who poured beer on me and my husband. Explained that the reason is that there are too many drinks and plates on the table and that we should be able to wash it. Food acceptable, but nothing special. Will avoid this place by all means in the future..",
U1067,P132732,Taqueria EL amigo ,Cd Victoria,Tamaulipas,Mexico,low,none,Mexican,medium,Cafeteria,"Consider before you enter here if you are a turist. They trick you, served a mojito with no alcohole, and when I complained they just laughed at me. To make it worse we had to wait over 50 minutes for the drink. If you are a turist they can fool you. Really bad service..",
U1067,P132630,palomo tec,Victoria,Tamaulipas,,low,none,Steaks,medium,American,"The food was great, the service as well. The dishes are generous and very tasty. It was not cheap but definitely worth it. We were a bit surprised to be charged 60 Kr. for water, but it didn't ruin the overall experience.",
U1067,P135104,vips,,,,medium,not permitted,Mexican,medium,Mexican,"We had a fantastic experience at 500 Restaurant. Our waiter was extremely personable and attentive, and the food was great. Though there are many awesome pizza's on the menu, there is also an excellent selection of entrees. We ordered the ""favourite"" pizza and a chicken dish, and both were fresh and delicious. The atmosphere is very cool and inviting - Highly recommend!",
U1067,P132560,puesto de gorditas,Victoria,Tamaulipas,Mexico,low,permitted,Steaks,medium,Family,"Stopped by on our way down from a beer fest in Hradcany to have a beer (yes, I know), and stayed for the food. Everything here is so well prepared so full of flavor. The lamb knuckle is the highlight. Matuska on tap. Can't recommend this place enough.",
U1103,P132584,Gorditas Dona Tota,,,,medium,not permitted,Mexican,medium,Cafe-Coffee_Shop,The weather on our visit was very hot & sunny & this place has a lovely patio to sit out in. Staff very attentive & helpful!,
